Company_name,Website,Sector,Country,Source,Active,No_of_employees
IndiaMART,https://indiamart.com,Internet,,CompaniesAPI,True,
Sunrise Senior Living,https://sunriseseniorliving.com,Hospitals And Health Care,,CompaniesAPI,True,
Adtran,https://adtran.com,Telecommunications,,CompaniesAPI,True,
Skyworks,https://skyworksinc.com,Semiconductor Manufacturing,,CompaniesAPI,True,
Wvi,https://wvi.org,Non Profits And Non Profit Services,,CompaniesAPI,True,
Torstone Technology,https://fisglobal.com,Financial Services,,CompaniesAPI,True,
Amadeus,https://amadeus.com,It Services And It Consulting,,CompaniesAPI,True,
Paylocity,https://paylocity.com,Software Development,,CompaniesAPI,True,
CME Group,https://cmegroup.com,Financial Services,,CompaniesAPI,True,
Seagate,https://seagate.com,Computer Hardware Manufacturing,,CompaniesAPI,True,
Twilio,https://twilio.com,Telecommunications,,CompaniesAPI,True,
Vimeo,https://vimeo.com,Software Development,,CompaniesAPI,True,
Rimini Street,https://riministreet.com,It Services And It Consulting,,CompaniesAPI,True,
YouTube,https://youtube.com,Media And Telecommunications,,CompaniesAPI,True,
Webroot,https://webroot.com,Computer And Network Security,,CompaniesAPI,True,
Perficient,https://perficient.com,It Services And It Consulting,,CompaniesAPI,True,
Robert W. Baird,https://rwbaird.com,Financial Services,,CompaniesAPI,True,
NTT,https://group.ntt,Telecommunications,,CompaniesAPI,True,
Expereo,https://expereo.com,Telecommunications,,CompaniesAPI,True,
News Corp,https://newscorp.com,Media And Telecommunications,,CompaniesAPI,True,
Sapsf,https://sap.com,It Services And It Consulting,,CompaniesAPI,True,
Kyriba,https://kyriba.com,Technology Information And Internet,,CompaniesAPI,True,
RealPage,https://realpage.com,Software Development,,CompaniesAPI,True,
astra-zeneca,https://astrazeneca.com,Pharmaceuticals,,CompaniesAPI,True,
Canara Bank,https://canarabank.com,Banking,,CompaniesAPI,True,
RBC Wealth Management,https://rbcwealthmanagement.com,Financial Services,,CompaniesAPI,True,
TOTVS,https://totvs.com,Software Development,,CompaniesAPI,True,
