S_No,Company_name,Website,Sector,Country,Source,Updated_at,Active,No_of_employees
65,Physiohome Holding LTD,https://www.ameen.care,Wellness,Saudi Arabia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
66,"American Aerospace Technologies, Inc.",https://www.americanaerospace.com,"Aviation, Energy",United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
67,Amity Robotics PTE.LTD,https://www.amityrobotics.com,,SINGAPORE,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
68,TaskUnite Inc.,https://www.ampaworks.com,Healthcare,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
69,"Ample Foods, Inc.",https://www.amplemeal.com,Wellness,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
70,Amp Me Inc.,https://ampme.com,Social Media,Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
71,AMUSED Co,https://www.amusedco.com,Fashion,Saudi Arabia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
72,AMWAL CORP,https://amwal.com.eg,"Credit & Lending, Crowdfunding, FinTech, Debt",Egypt,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
73,"Anduin Transactions, Inc.",https://anduintransact.com,FinTech,Canada,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
74,"Angelcam, Inc.",https://www.angelcam.com,"AI/Machine Learning, Data & Analytics, Other",Czech Republic,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
75,"Charlie Tango Romeo AI, LLC",https://angel.co,Credit & Lending,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
76,Appionics Holdings,https://www.animocabrands.com,Gaming,Hong Kong,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
77,"Anyroad, Inc.",https://www.anyroad.com,Travel & Tourism,United Arab Emirates,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
78,Elysium Assets Limited,,,CAYMAN ISLANDS,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
79,My AOne Learning Sdn. Bhd.,https://aoneschools.com,"Education, SaaS",Malaysia,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
80,AORA SERVICES INC.,https://aoraservicios.com,"Marketplace, Agnostic (all)",Mexico,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
81,"Apla, Inc.",https://aplahub.com,FinTech,United States,500 Global Portfolio (500.co/portfolio),2026-08-05T18:15:38.487875+00:00,True,
